SNO,NAME,ENGLISH,SCIENCE,SOCIAL,MATHS,TOTAL,AVERAGE,RESULT,GRADE
1,Jerin,96,90,60,50,296,74,PASS,DISTINCTION
2,Joel,92,43,62,52,249,62.25,PASS,FIRSTCLASS
3,Joval,87,62,64,56,269,67.25,PASS,FIRSTCLASS
4,Justin,82,85,66,58,291,72.75,PASS,DISTINCTION
5,Nassar,64,70,68,60,262,65.5,PASS,FIRSTCLASS
6,Hussain,77,40,70,62,249,62.25,PASS,FIRSTCLASS
7,Arthak,78,56,72,64,270,67.5,PASS,FIRSTCLASS
8,Anwar,71,57,74,66,268,67,PASS,FIRSTCLASS
9,Ali,80,42,76,68,266,66.5,PASS,FIRSTCLASS
10,Bandu,82,97,78,70,327,81.75,PASS,DISTINCTION
11,Issac,85,99,80,72,336,84,PASS,DISTINCTION
12,Ahammed,70,81,82,73,306,76.5,PASS,DISTINCTION
13,Hari,62,86,86,76,310,77.5,PASS,DISTINCTION
14,Abel,43,82,88,78,291,72.75,PASS,DISTINCTION
15,Antony,55,44,89,47,258,75,PASS,DISTINCTION
