SNO,NAME,ENGLISH,SCIENCE,SOCIAL,MATHS,TOTAL,AVERAGE,RESULT,GRADE
1,Aaron,96,90,60,50,296,74,PASS,DISTINCTION
2,Abraham,92,43,62,52,249,62.25,PASS,FIRSTCLASS
3,Benjamin,87,62,64,56,269,67.25,PASS,FIRSTCLASS
4,Jonath,82,85,66,58,291,72.75,PASS,DISTINCTION
5,Leno,64,70,68,60,262,65.5,PASS,FIRSTCLASS
6,Lemuel,77,40,70,62,249,62.25,PASS,FIRSTCLASS
7,Cryus,78,56,72,64,270,67.5,PASS,FIRSTCLASS
8,Pius,71,57,74,66,268,67,PASS,FIRSTCLASS
9,Victor,80,42,76,68,266,66.5,PASS,FIRSTCLASS
10,Haaland,82,97,78,70,327,81.75,PASS,DISTINCTION
11,Don,85,99,80,72,336,84,PASS,DISTINCTION
12,Nixon,70,81,82,73,306,76.5,PASS,DISTINCTION
13,Jackson,62,86,86,76,310,77.5,PASS,DISTINCTION
14,Dickson,43,82,88,78,291,72.75,PASS,DISTINCTION
15,Andrews,90,84,90,80,344,86,PASS,DISTINCTION
