SNO,NAME,ENGLISH,SCIENCE,SOCIAL,MATHS,TOTAL,AVERAGE,RESULT,GRADE
1,Shyam,87,50,60,60,257,64.25,PASS,FIRSTCLASS
2, Rafan,82,55,62,62,261,65.25,PASS,FIRSTCLASS
3, Rohan,85,60,64,64,273,68.25,PASS,FIRSTCLASS
4, Shritik,74,65,66,66,271,67.75,PASS,FIRSTCLASS
5,Sharath,72,70,68,68,278,69.5,PASS,FIRSTCLASS
6,Glenn,80,75,70,70,295,73.75,PASS,DISTINCTION
7,Ricky,81,80,72,72,305,76.25,PASS,DISTINCTION
8,Ponting,92,85,74,74,325,81.25,PASS,DISTINCTION
9,Rohit,97,90,76,76,339,84.75,PASS,DISTINCTION
11,Shetty,94,95,78,78,345,86.25,PASS,DISTINCTION
12, Rahul,90,80,80,80,330,82.5,PASS,DISTINCTION
13, Kiran,45,75,82,82,284,71,PASS,DISTINCTION
14,Biju,64,70,84,84,302,75.5,PASS,DISTINCTION
15,John,81,65,86,86,318,79.5,PASS,DISTINCTION
